condition_key,feature,n_fields,matched_mean,matched_sd,matched_cv,matched_relative_range,relative_difference,relative_difference_reduction
900C|PUR|unknown|spray|abrasion|15|sprayna,solid_area_fraction,2,0.436431884765625,0.137114150624369,0.3141707913886462,0.44430459408331174,0.0407180004929288,-0.40358659359038296
900C|PUR|unknown|spray|abrasion|15|sprayna,eq_diameter_median_um,2,10.700983813553163,4.483976792464813,0.4190247243235041,0.5925904481079469,1.7695842226302638,1.176993774522317
900C|PUR|unknown|spray|abrasion|15|sprayna,circularity_median,2,0.6095293448094365,0.19692626106971645,0.32307921307867543,0.45690300485668983,0.1772508152906666,-0.2796521895660232
900C|PUR|unknown|spray|abrasion|15|sprayna,aspect_ratio_median,2,1.628777984472587,0.2695461196400135,0.16548978572247186,0.2340378994029371,0.0924752025693091,-0.141562696833628
900C|PUR|unknown|spray|abrasion|15|sprayna,pore_component_density_per_mm2,2,1071.0522739205448,649.155707909562,0.606091526731326,0.8571428571428565,1.9955357142857144,1.1383928571428579
900C|PUR|unknown|spray|abrasion|15|sprayna,edge_density_per_um,2,0.4203171138532803,0.08107898531629076,0.19289955760497546,0.2728011705407264,1.615328170576506,1.3425270000357794
900C|PUR|unknown|spray|abrasion|15|sprayna,nearest_neighbor_spacing_um,2,16.382881364918106,6.494947738890705,0.39644721793557197,0.560661032369568,1.7582000549804742,1.1975390226109062
900C|PUR|unknown|spray|abrasion|15|sprayna,texture_glcm_contrast_mean,2,2.7206658321822275,0.587433278841804,0.21591526305544545,0.30535029333636543,0.0214741639689834,-0.28387612936738205
900C|PUR|unknown|spray|abrasion|15|sprayna,texture_glcm_homogeneity_mean,2,0.5727050294468536,0.03244205311204647,0.056647054668480794,0.0801110329806557,0.0140810938341597,-0.06602993914649599
900C|PUR|unknown|spray|abrasion|15|sprayna,texture_lbp_entropy,2,3.1741714671238217,0.15351109013923636,0.04836257011606477,0.06839500256935854,0.0135606025257247,-0.054834400043633845
900C|PUR|unknown|spray|abrasion|15|sprayna,texture_laplacian_variance,2,0.10813730396330357,0.11166435303605463,1.0326163954754721,1.4603401112102319,0.1549529009925082,-1.3053872102177237
base|PDMS|unsieved|spray|none|na|sprayna,solid_area_fraction,2,0.4186995849322578,0.00796041975061211,0.019012246577414283,0.026887376960960732,0.0537784137287356,0.026891036767774865
base|PDMS|unsieved|spray|none|na|sprayna,eq_diameter_median_um,2,12.660539825899079,0.9085991830876544,0.07176622763185053,0.10149277243731779,0.2284325670730271,0.1269397946357093
base|PDMS|unsieved|spray|none|na|sprayna,circularity_median,2,0.973912471507469,0.01734089152598119,0.017805390148790592,0.025180624231763957,0.1979249692103468,0.17274434497858285
base|PDMS|unsieved|spray|none|na|sprayna,aspect_ratio_median,2,1.2884547779362565,0.0024569444783119994,0.0019068922870893682,0.002696752934386434,0.0230847432085671,0.020387990274180666
base|PDMS|unsieved|spray|none|na|sprayna,pore_component_density_per_mm2,2,47.11800800397626,22.211641983742425,0.4714045207910217,0.6666666666666525,1.5548686244203849,0.8882019577537323
base|PDMS|unsieved|spray|none|na|sprayna,edge_density_per_um,2,0.18897403119968006,0.014346394051999821,0.0759172779500308,0.10736324409538146,0.7940351826464831,0.6866719385511016
