stratum,n,dice_median,dice_q1,dice_q3,dice_min,dice_max,iou_median,iou_q1,iou_q3,iou_min,iou_max,boundary_f1_median,boundary_f1_q1,boundary_f1_q3,boundary_f1_min,boundary_f1_max,area_fraction_error_median,area_fraction_error_q1,area_fraction_error_q3,area_fraction_error_min,area_fraction_error_max
ALL,24,0.5844879689998591,0.4755857933537382,0.761769703323184,0.1530801991482214,0.8298639670990193,0.413264628589388,0.31201132734259274,0.6152194906797865,0.0828840532640467,0.7092029847518114,0.1674919723961336,0.11258154658764143,0.23925933640250316,0.0407691127217563,0.468885329710389,0.14234161376953125,0.07896041870117188,0.18808746337890625,0.0007476806640625,0.420166015625
HPC22,8,0.45750772766627357,0.36338886641106904,0.4885690648845571,0.1530801991482214,0.554576372166919,0.2966166146759903,0.22328520157945086,0.32326102942911916,0.0828840532640467,0.3836773949781884,0.1425517501427315,0.08723825895446874,0.1620401862372252,0.0407691127217563,0.2122523574706649,0.18724822998046875,0.17328262329101562,0.2826118469238281,0.0575103759765625,0.420166015625
HPC30,8,0.7636385470777344,0.7168397300744781,0.7975430494635233,0.6094406321480558,0.8298639670990193,0.617664700019209,0.5613416258404079,0.6632685062050334,0.4382701280057423,0.7092029847518114,0.2868604642258296,0.2204239787436213,0.34906303715957904,0.0958386820309956,0.468885329710389,0.08249664306640625,0.053379058837890625,0.11671829223632812,0.0007476806640625,0.1682586669921875
HPC45,8,0.5844879689998591,0.5093405663001653,0.7536105124680039,0.4543753817959682,0.7982021317580583,0.413264628589388,0.34185980580830716,0.6051017572177694,0.293975248869896,0.6641733629680288,0.1393783225230312,0.11155998534684877,0.2163550309860019,0.0665524203014226,0.3418499187131,0.11872100830078125,0.0828094482421875,0.2143096923828125,0.074005126953125,0.357666015625
