target,feature,n_conditions,spearman_rho,ci_low,ci_high
contact_angle_deg,solid_area_fraction,8,0.5952380952380953,-0.3150684931506849,1.0
contact_angle_deg,eq_diameter_median_um,8,-0.023809523809523815,-0.9688983386075948,0.802469135802469
contact_angle_deg,circularity_median,8,0.5714285714285715,-0.28775793306745273,0.9746835443037977
contact_angle_deg,aspect_ratio_median,8,-0.880952380952381,-1.0,-0.2894736842105264
contact_angle_deg,pore_component_density_per_mm2,8,0.023809523809523815,-0.9732876712328766,0.8518518518518517
contact_angle_deg,edge_density_per_um,8,0.09523809523809526,-0.8518518518518517,0.9259259259259259
contact_angle_deg,nearest_neighbor_spacing_um,8,-0.023809523809523815,-0.9259259259259259,0.7777777777777778
contact_angle_deg,texture_glcm_contrast_mean,8,0.6428571428571429,-0.06329113924050635,1.0
contact_angle_deg,texture_glcm_homogeneity_mean,8,-0.8095238095238096,-1.0,-0.24050632911392406
contact_angle_deg,texture_lbp_entropy,8,0.5476190476190477,-0.2820512820512821,0.9240506329113927
contact_angle_deg,texture_laplacian_variance,8,-0.2142857142857143,-0.9726027397260274,0.7530948756976154
pinning_fraction,solid_area_fraction,6,0.18516401995451032,-0.9847319278346619,0.9045340337332909
pinning_fraction,eq_diameter_median_um,6,0.18516401995451032,-1.0,0.9045340337332909
pinning_fraction,circularity_median,6,-0.12344267996967354,-0.9045340337332909,0.8944271909999161
pinning_fraction,aspect_ratio_median,6,0.5863527298559494,-0.44721359549995804,1.0
pinning_fraction,pore_component_density_per_mm2,6,0.24688535993934707,-0.8261843893231646,1.0
pinning_fraction,edge_density_per_um,6,-0.18516401995451032,-0.9045340337332909,1.0
pinning_fraction,nearest_neighbor_spacing_um,6,0.18516401995451032,-0.9999999999999999,0.9045340337332909
pinning_fraction,texture_glcm_contrast_mean,6,-0.27774602993176545,-1.0,0.8853648783083365
pinning_fraction,texture_glcm_homogeneity_mean,6,0.27774602993176545,-0.8944271909999161,1.0
pinning_fraction,texture_lbp_entropy,6,0.3086066999241839,-0.8007572173962101,0.9486832980505139
pinning_fraction,texture_laplacian_variance,6,-0.6172133998483678,-1.0,0.3951316644589048
