condition_key,relative_path,native_pixel_size_um,native_field_width_um,matched_window_um,matched_pixel_size_um,matched_size_px,solid_area_fraction,pore_area_fraction,pore_component_density_per_mm2,pore_euler_density_per_mm2,edge_density_per_um,nearest_neighbor_spacing_um,object_count,eq_diameter_median_um,eq_diameter_iqr_um,circularity_median,aspect_ratio_median,texture_glcm_contrast_mean,texture_glcm_homogeneity_mean,texture_lbp_entropy,texture_laplacian_variance,texture_contrast_scale_1,texture_contrast_scale_2,texture_contrast_scale_3
900C|PUR|unknown|spray|abrasion|15|sprayna,Figure 6/900C SP_coating failure after abrasion_magnified_SEM.tif,0.04466,45.73184,57.1648,0.4466,128,0.53338623046875,0.46661376953125,1530.07467702935,1224.0597416234798,0.3629856135244066,20.97550295453996,4.0,13.871634210188137,22.525968523060236,0.47028145021332757,1.819375873512561,2.30528777721854,0.5956450251979958,3.2827201999486153,0.0291786827147007,0.6615953925112213,2.322244925213675,3.9320230139307233
900C|PUR|unknown|spray|abrasion|15|sprayna,Figure 6/900C SP_coating failure after abrasion_SEM.tif,0.4466,457.3184,57.1648,0.4466,128,0.3394775390625,0.6605224609375,612.0298708117399,-1224.0597416234798,0.47764861418215404,11.790259775296256,12.0,7.5303334169181895,6.912907662079457,0.7487772394055454,1.438180095432613,3.1360438871459153,0.5497650336957114,3.0656227342990285,0.18709592521190643,1.5529060997358108,3.316838942307693,4.5383866193942435
base|PDMS|unsieved|spray|none|na|sprayna,Figure 4/unsieved SP coating_SEM_01.tif,1.1165,1143.296,252.329,1.1165,226,0.42432845171900696,0.575671548280993,62.824010671968345,-1821.896309487082,0.1991184637194235,16.625542855870137,136.0,13.303016469640916,9.095735369317048,0.9616506095176274,1.2901921000378698,5.380316921592609,0.4521887645586327,3.172264766019266,0.26035571098327637,2.3640875341418113,5.32803219764606,8.448831032989958
base|PDMS|unsieved|spray|none|na|sprayna,Figure 4/unsieved SP coating_SEM_02.tif,0.4466,457.3184,252.329,1.1165,226,0.41307071814550866,0.5869292818544913,31.412005335984173,-1916.1323254950344,0.17882959867993664,14.942530882530974,147.0,12.01806318215724,9.34107973461499,0.9861743334973107,1.2867174558346433,3.8696854728185834,0.5353972315892487,3.2577396868994155,0.05267547816038132,1.0878642193816237,3.8360605590889065,6.6851316399852205
base|unknown|unknown|spray|none|na|sprayna,Figure 3/Coating top-view SEM.tif,1.1165,1143.296,142.912,1.1165,128,0.44610595703125,0.55389404296875,48.962389664939195,-2790.8562109015343,0.20669406697828033,13.107683170557138,64.0,10.426367691665034,8.806170152696824,1.0,1.273578797993049,6.559088406632886,0.43430211068199404,3.249584224329669,0.1867968738079071,2.483843881750265,7.403883576612905,9.789537761535488
base|unknown|unknown|spray|none|na|sprayna,Figure 3/High magnification SP coating SEM.tif,0.011165,11.43296,142.912,1.1165,128,0.7109375,0.2890625,195.84955865975678,97.92477932987839,0.19007544852776534,11.576226768541806,6.0,6.41916474577288,0.767461859975108,0.9943927785718744,1.4116091712730625,1.8134277432475845,0.6656650533752363,3.2842741685284853,0.0427972748875618,0.6660043632587265,1.3983836310483864,3.375895235435641
binder|PUR|unknown|spray|tape|25|sprayna,Figure 6/Binder SP_coating failure after tape_magnified_SEM.tif,0.02233,22.86592,28.5824,0.2233,128,0.02667236328125,0.97332763671875,1224.0597416234798,1224.0597416234798,0.3137857562695925,25.4626931314635,2.0,3.7229878223358313,0.10658006148631971,0.6594102890054763,1.9206012491285414,1.2076833590744727,0.7392520724586126,3.257174803185683,0.00786970742046833,0.521129616935484,1.4167406201867534,1.6851798401011804
binder|PUR|unknown|spray|tape|25|sprayna,Figure 6/Binder SP_coating failure after tape_SEM.tif,0.2233,228.6592,28.5824,0.2233,128,0.2457275390625,0.7542724609375,2448.1194832469596,-1224.0597416234798,0.8708374734102104,8.933293614372449,6.0,4.137266414235795,5.6548343483783094,0.7064117399726364,1.5103237097665547,5.074702607349611,0.486689392734535,3.0711975116838017,0.17224738001823425,2.3883917399193555,6.065678246534463,6.770037835595014
