durability_series_key,primer,material,sieving,coating_method,test_type,cycle,contact_angle_deg,hysteresis_deg,rolloff_angle_deg,pinning_fraction
PUR|500C|unknown|spray|tape,PUR,500C,unknown,spray,tape,0,151.74,0.4997710075667025,5.0,0.0
PUR|500C|unknown|spray|tape,PUR,500C,unknown,spray,tape,1,151.74,4.411051373954592,6.0,0.1
PUR|500C|unknown|spray|tape,PUR,500C,unknown,spray,tape,2,151.1,1.0750256258824702,8.0,0.4
PUR|500C|unknown|spray|tape,PUR,500C,unknown,spray,tape,3,148.07999999999998,,11.0,1.0
PUR|500C|unknown|spray|tape,PUR,500C,unknown,spray,tape,4,144.29000000000002,,17.0,1.0
PUR|500C|unknown|spray|tape,PUR,500C,unknown,spray,tape,5,143.1,,,1.0
PUR|900C|unknown|spray|abrasion,PUR,900C,unknown,spray,abrasion,0,154.46,1.2123544657097227,5.0,0.0
PUR|900C|unknown|spray|abrasion,PUR,900C,unknown,spray,abrasion,1,152.985,1.103155197336497,5.0,0.0
PUR|900C|unknown|spray|abrasion,PUR,900C,unknown,spray,abrasion,2,154.47000000000003,0.8613890161309257,5.0,0.1
PUR|900C|unknown|spray|abrasion,PUR,900C,unknown,spray,abrasion,3,154.825,1.0999159761706494,6.0,0.2
PUR|900C|unknown|spray|abrasion,PUR,900C,unknown,spray,abrasion,4,140.27000000000004,,9.0,0.6
PUR|900C|unknown|spray|abrasion,PUR,900C,unknown,spray,abrasion,5,134.03499999999997,,10.0,1.0
PUR|900C|unknown|spray|abrasion,PUR,900C,unknown,spray,abrasion,10,137.985,,15.0,1.0
PUR|900C|unknown|spray|abrasion,PUR,900C,unknown,spray,abrasion,15,144.51,,,1.0
PUR|900C|unknown|spray|abrasion,PUR,900C,unknown,spray,abrasion,20,148.41500000000002,,,1.0
PUR|900C|unknown|spray|tape,PUR,900C,unknown,spray,tape,0,153.14999999999998,0.9322278062943118,5.0,0.0
PUR|900C|unknown|spray|tape,PUR,900C,unknown,spray,tape,1,152.85,1.9958266670031437,5.0,0.0
PUR|900C|unknown|spray|tape,PUR,900C,unknown,spray,tape,2,155.3,0.837051767676788,6.0,0.2
PUR|900C|unknown|spray|tape,PUR,900C,unknown,spray,tape,3,151.63,3.7707333516157178,7.0,0.4
PUR|900C|unknown|spray|tape,PUR,900C,unknown,spray,tape,4,146.72,,8.0,0.8
PUR|900C|unknown|spray|tape,PUR,900C,unknown,spray,tape,5,145.95000000000002,,10.0,1.0
PUR|900C|unknown|spray|tape,PUR,900C,unknown,spray,tape,10,148.11,,15.0,1.0
PUR|900C|unknown|spray|tape,PUR,900C,unknown,spray,tape,15,146.17,,,1.0
PUR|unsintered|unknown|spray|abrasion,PUR,unsintered,unknown,spray,abrasion,0,154.34499999999997,0.3328235380904346,5.0,0.0
PUR|unsintered|unknown|spray|abrasion,PUR,unsintered,unknown,spray,abrasion,1,151.34500000000003,1.2027125863229629,5.0,0.0
PUR|unsintered|unknown|spray|abrasion,PUR,unsintered,unknown,spray,abrasion,2,148.08500000000004,,7.0,0.9
PUR|unsintered|unknown|spray|abrasion,PUR,unsintered,unknown,spray,abrasion,3,146.05,,11.0,1.0
PUR|unsintered|unknown|spray|abrasion,PUR,unsintered,unknown,spray,abrasion,4,145.08,,19.0,1.0
PUR|unsintered|unknown|spray|abrasion,PUR,unsintered,unknown,spray,abrasion,5,144.29444444444448,,,1.0
PUR|unsintered|unknown|spray|tape,PUR,unsintered,unknown,spray,tape,0,152.17000000000002,1.1329184472934533,5.0,0.0
PUR|unsintered|unknown|spray|tape,PUR,unsintered,unknown,spray,tape,1,150.79,1.491485339506189,8.0,0.3
PUR|unsintered|unknown|spray|tape,PUR,unsintered,unknown,spray,tape,2,143.62,,9.0,1.0
PUR|unsintered|unknown|spray|tape,PUR,unsintered,unknown,spray,tape,3,140.81,,13.0,1.0
PUR|unsintered|unknown|spray|tape,PUR,unsintered,unknown,spray,tape,4,140.52000000000004,,18.0,1.0
PUR|unsintered|unknown|spray|tape,PUR,unsintered,unknown,spray,tape,5,142.17,,,1.0
