metric,label,n_images,median_python,median_fiji,median_signed_difference_fiji_minus_python,median_absolute_difference,median_absolute_difference_bootstrap_ci_low,median_absolute_difference_bootstrap_ci_high,spearman_rho,spearman_p_value
pore_area_fraction,Pore-area fraction,12,0.5710516691747858,0.569571845,-0.0014759416663899516,0.0021271916448140915,0.0011866094763751667,0.0032637022214386247,1.0,0.0
eq_diameter_median_um,Equivalent diameter (µm),12,5.852780298898298,4.782356835,-0.5180302630643272,0.8051975519093606,0.23442217061806825,1.2967433971717086,0.9860139860139862,4.1168959116543235e-09
circularity_median,Circularity,12,0.8644288099657744,0.85347268,-0.010095390656028491,0.01643905710208443,0.003666491277073247,0.030477407749204377,0.9860139860139862,4.1168959116543235e-09
object_count,Object count,12,367.0,595.0,217.0,217.0,175.0,589.0,0.5104895104895105,0.08991373630263919
