target,model,n_images,n_groups,mae,normalized_mae_iqr,r2_oof
contact_angle_deg,Ridge,11,8,3.9760981292749333,0.9466900307797486,-1.5454774300624354
contact_angle_deg,Random Forest,11,8,3.0220930934343384,0.7195459746272254,-0.13992141429648908
hysteresis_deg,Ridge,6,4,102.72157452952301,230.1730922522617,-436510.98543279624
hysteresis_deg,Random Forest,6,4,0.45935919767324784,1.0293078885057505,-0.6779413678833393
pinning_fraction,Ridge,8,6,1.3974550452999337,1.3974550452999337,-29.85530854502526
pinning_fraction,Random Forest,8,6,0.6051133184523809,0.6051133184523809,-0.81355916393242
