dataset_id,material,pair_id,dice,iou,boundary_f1,reference_area_fraction,predicted_area_fraction,area_fraction_error
fibsem_4317170,HPC22,FIBSEM-HPC22-SQ011-Z178,0.554576372166919,0.3836773949781884,0.2122523574706649,0.2785797119140625,0.336090087890625,0.0575103759765625
fibsem_4317170,HPC22,FIBSEM-HPC22-SQ015-Z082,0.3941288090188637,0.24542990199485648,0.0943086969186264,0.144927978515625,0.401885986328125,0.2569580078125
fibsem_4317170,HPC22,FIBSEM-HPC22-SQ051-Z180,0.46251882125188215,0.3008289321814557,0.1783955447139504,0.1866302490234375,0.3808746337890625,0.194244384765625
fibsem_4317170,HPC22,FIBSEM-HPC22-SQ058-Z154,0.49633372198471304,0.3300823655098735,0.1546055590757707,0.2043304443359375,0.38458251953125,0.1802520751953125
fibsem_4317170,HPC22,FIBSEM-HPC22-SQ079-Z090,0.452496634080665,0.292404297170525,0.1565884000783168,0.1746368408203125,0.3466949462890625,0.17205810546875
fibsem_4317170,HPC22,FIBSEM-HPC22-SQ082-Z063,0.15308019914822146,0.08288405326404677,0.040769112721756304,0.0442962646484375,0.4644622802734375,0.420166015625
fibsem_4317170,HPC22,FIBSEM-HPC22-SQ089-Z029,0.4859808458511718,0.32098725073553447,0.13049794120969233,0.2214508056640625,0.3951416015625,0.1736907958984375
fibsem_4317170,HPC22,FIBSEM-HPC22-SQ099-Z043,0.27116903858768504,0.15685110033323435,0.06602694506199583,0.0877227783203125,0.447296142578125,0.3595733642578125
fibsem_4317170,HPC30,FIBSEM-HPC30-SQ005-Z137,0.6094406321480558,0.43827012800574233,0.2236515085330401,0.2531890869140625,0.11370849609375,0.1394805908203125
fibsem_4317170,HPC30,FIBSEM-HPC30-SQ008-Z044,0.6223542517638322,0.4517520215633423,0.09583868203099563,0.3101348876953125,0.141876220703125,0.1682586669921875
fibsem_4317170,HPC30,FIBSEM-HPC30-SQ015-Z082,0.7599008595686336,0.612774281340364,0.2949118453402873,0.17694091796875,0.1124114990234375,0.0645294189453125
fibsem_4317170,HPC30,FIBSEM-HPC30-SQ034-Z182,0.8298639670990193,0.7092029847518114,0.46888532971038904,0.1209564208984375,0.120208740234375,0.0007476806640625
fibsem_4317170,HPC30,FIBSEM-HPC30-SQ075-Z026,0.7483348895113601,0.5978714939327631,0.34495434959472077,0.2996978759765625,0.1905670166015625,0.109130859375
fibsem_4317170,HPC30,FIBSEM-HPC30-SQ082-Z063,0.7673762345868351,0.622555118698054,0.361389099854154,0.2961273193359375,0.2013397216796875,0.09478759765625
fibsem_4317170,HPC30,FIBSEM-HPC30-SQ092-Z160,0.7960905585461765,0.6612545189319464,0.2788090831113719,0.2349395751953125,0.16473388671875,0.0702056884765625
fibsem_4317170,HPC30,FIBSEM-HPC30-SQ093-Z128,0.8019005222155637,0.6693104680242944,0.21074138937536485,0.188201904296875,0.16827392578125,0.019927978515625
fibsem_4317170,HPC45,FIBSEM-HPC45-SQ003-Z063,0.45437538179596826,0.293975248869896,0.11816250143985679,0.5784912109375,0.2208251953125,0.357666015625
fibsem_4317170,HPC45,FIBSEM-HPC45-SQ018-Z183,0.7900695400947357,0.6529875610839627,0.13146335748081744,0.273223876953125,0.1809844970703125,0.0922393798828125
fibsem_4317170,HPC45,FIBSEM-HPC45-SQ028-Z115,0.7414575032590933,0.589139822595705,0.22607608749954694,0.4572906494140625,0.373748779296875,0.0835418701171875
fibsem_4317170,HPC45,FIBSEM-HPC45-SQ044-Z077,0.4799414507210235,0.31573879239630515,0.14729328756524507,0.2444610595703125,0.3184661865234375,0.074005126953125
fibsem_4317170,HPC45,FIBSEM-HPC45-SQ055-Z155,0.7982021317580583,0.6641733629680288,0.3418499187131,0.3373565673828125,0.256744384765625,0.0806121826171875
fibsem_4317170,HPC45,FIBSEM-HPC45-SQ057-Z139,0.5622648083623694,0.3910767515692024,0.0665524203014226,0.53094482421875,0.34490966796875,0.18603515625
fibsem_4317170,HPC45,FIBSEM-HPC45-SQ066-Z045,0.6067111296373489,0.43545250560957366,0.21311467881482024,0.292236328125,0.14703369140625,0.14520263671875
fibsem_4317170,HPC45,FIBSEM-HPC45-SQ075-Z026,0.5191402714932126,0.35056681027897457,0.09175243706782509,0.486785888671875,0.187652587890625,0.29913330078125
