pair_id,material,otsu,unet,dice_gain_unet_minus_otsu
FIBSEM-HPC22-SQ001-Z084,HPC22,0.5861378463923519,0.7655153467695612,0.17937750037720934
FIBSEM-HPC22-SQ011-Z178,HPC22,0.554576372166919,0.7471534322323632,0.19257706006544417
FIBSEM-HPC22-SQ015-Z082,HPC22,0.3941288090188637,0.8024691358024691,0.40834032678360543
FIBSEM-HPC22-SQ023-Z014,HPC22,0.5416521920377961,0.7425618841624609,0.2009096921246648
FIBSEM-HPC22-SQ034-Z182,HPC22,0.602233112716617,0.7732083459328697,0.17097523321625274
FIBSEM-HPC22-SQ036-Z037,HPC22,0.5581726209294973,0.7720382511379296,0.2138656302084323
FIBSEM-HPC22-SQ039-Z087,HPC22,0.4624442353798064,0.865902812372628,0.4034585769928216
FIBSEM-HPC22-SQ041-Z003,HPC22,0.5348564557342552,0.7992936549343822,0.264437199200127
FIBSEM-HPC22-SQ051-Z180,HPC22,0.46251882125188215,0.7126660187884678,0.25014719753658565
FIBSEM-HPC22-SQ058-Z154,HPC22,0.49633372198471304,0.75390319398619,0.25756947200147695
FIBSEM-HPC22-SQ059-Z192,HPC22,0.5761366942629672,0.7615614917303724,0.18542479746740514
FIBSEM-HPC22-SQ062-Z195,HPC22,0.5613765021352667,0.7878017054487643,0.22642520331349758
FIBSEM-HPC22-SQ066-Z045,HPC22,0.5583884981381878,0.758810503005378,0.2004220048671902
FIBSEM-HPC22-SQ078-Z008,HPC22,0.612737955346651,0.8481733064071966,0.23543535106054558
FIBSEM-HPC22-SQ079-Z090,HPC22,0.452496634080665,0.744796306795173,0.29229967271450796
FIBSEM-HPC22-SQ081-Z184,HPC22,0.5968060836501902,0.7929675916119466,0.19616150796175646
FIBSEM-HPC22-SQ082-Z063,HPC22,0.15308019914822146,0.7176134041683694,0.5645332050201479
FIBSEM-HPC22-SQ088-Z005,HPC22,0.26522035438437075,0.7463528085136373,0.48113245412926653
FIBSEM-HPC22-SQ089-Z029,HPC22,0.4859808458511718,0.7153248056182594,0.2293439597670876
FIBSEM-HPC22-SQ099-Z043,HPC22,0.27116903858768504,0.8074477747502271,0.5362787361625421
FIBSEM-HPC30-SQ005-Z137,HPC30,0.6094406321480558,0.8207395761684845,0.2112989440204287
FIBSEM-HPC30-SQ008-Z044,HPC30,0.6223542517638322,0.8310529772329247,0.20869872546909252
FIBSEM-HPC30-SQ013-Z148,HPC30,0.6787600012957145,0.8628215890573305,0.18406158776161607
FIBSEM-HPC30-SQ015-Z082,HPC30,0.7599008595686336,0.9002228073728985,0.14032194780426488
FIBSEM-HPC30-SQ016-Z066,HPC30,0.5820054820928341,0.7712803736306308,0.18927489153779675
FIBSEM-HPC30-SQ018-Z183,HPC30,0.7658267030472565,0.8473143356898185,0.08148763264256198
FIBSEM-HPC30-SQ034-Z182,HPC30,0.8298639670990193,0.7241157556270097,-0.10574821147200963
FIBSEM-HPC30-SQ039-Z087,HPC30,0.7809420575482854,0.8333874634621631,0.052445405913877696
FIBSEM-HPC30-SQ047-Z105,HPC30,0.6834828101644245,0.8071636575422249,0.12368084737780038
FIBSEM-HPC30-SQ055-Z155,HPC30,0.8465987631866133,0.903013698630137,0.05641493544352372
FIBSEM-HPC30-SQ062-Z195,HPC30,0.7020795833173759,0.8497204100652377,0.14764082674786183
FIBSEM-HPC30-SQ075-Z026,HPC30,0.7483348895113601,0.8794833629423344,0.13114847343097435
FIBSEM-HPC30-SQ076-Z193,HPC30,0.780300028304557,0.8939997253878896,0.11369969708333261
FIBSEM-HPC30-SQ080-Z103,HPC30,0.8121348185245949,0.9009055385263355,0.08877072000174058
FIBSEM-HPC30-SQ082-Z063,HPC30,0.7673762345868351,0.8588806638691122,0.09150442928227709
FIBSEM-HPC30-SQ085-Z161,HPC30,0.4104256600742897,0.4000538199965751,-0.010371840077714634
FIBSEM-HPC30-SQ087-Z191,HPC30,0.6473014610873671,0.849989795224165,0.20268833413679788
FIBSEM-HPC30-SQ092-Z160,HPC30,0.7960905585461765,0.8717901405418704,0.07569958199569393
FIBSEM-HPC30-SQ093-Z128,HPC30,0.8019005222155637,0.887171213087689,0.08527069087212524
FIBSEM-HPC30-SQ098-Z008,HPC30,0.6363408364160762,0.7877949123500725,0.1514540759339963
FIBSEM-HPC45-SQ003-Z063,HPC45,0.45437538179596826,0.6158865648478008,0.16151118305183254
FIBSEM-HPC45-SQ018-Z183,HPC45,0.7900695400947357,0.8952342879986294,0.10516474790389363
FIBSEM-HPC45-SQ023-Z014,HPC45,0.7238032864967849,0.8332217322034681,0.10941844570668313
FIBSEM-HPC45-SQ028-Z115,HPC45,0.7414575032590933,0.8781568607086601,0.13669935744956674
FIBSEM-HPC45-SQ032-Z005,HPC45,0.7534602534867688,0.8986228420524237,0.1451625885656549
