relative_path,sha256,contact_angle_deg,contact_angle_sd_deg,n_contact_angle,contact_angle_value_source,hysteresis_deg,rolloff_angle_deg,pinning_fraction,figure_folder,primer,material,sieving,coating_method,test_type,cycle,spray_cycle,view,image_role,condition_key,duplicate_sha256
Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Tape test cycle_4_wetting data.xlsx,1f238f1233b3b326b8b53171aa10af32bcd91cf0607c162e32699db9c591f035,142.82,2.281376124461958,5,reported_CA_Stabw,,,1.0,Figure 5,PDMS,500C,unknown,spray,tape,4.0,,top,coating,500C|PDMS|unknown|spray|tape|4|sprayna,False
Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Tape test cycle_5_wetting data.xlsx,61cb792c62b1a3cadfc68514515b8692db8ea1b5c724e2ae5e71fe6827f3ad3f,140.48000000000002,1.379169899283193,5,reported_CA_Stabw,,,1.0,Figure 5,PDMS,500C,unknown,spray,tape,5.0,,top,coating,500C|PDMS|unknown|spray|tape|5|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 0/Abrasion.xlsx,812aaf45e454011161e275c24ef96d9d0dd48282dff7eb66505ec40293202e91,155.29000000000002,2.497960648501661,10,reported_CA_Stabw,2.9977113965469186,5.0,0.0,Figure 5,PDMS,900C,unknown,spray,abrasion,0.0,,top,coating,900C|PDMS|unknown|spray|abrasion|0|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 0/Tape.xlsx,d26dc62c479131e9bb0143943da7e477531cf247dc5416ea884990a6ed0caace,153.49,0.6389760849740129,5,reported_CA_Stabw,1.4984218648473018,5.0,0.0,Figure 5,PDMS,900C,unknown,spray,tape,0.0,,top,coating,900C|PDMS|unknown|spray|tape|0|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 1/Abrasion.xlsx,411f78dc27c35c6c19772cf5c3f1546da2928e4fcf0536d1e5eb3cd6f428cfbe,155.395,1.4758223130135242,10,reported_CA_Stabw,1.0261535942128035,5.0,0.0,Figure 5,PDMS,900C,unknown,spray,abrasion,1.0,,top,coating,900C|PDMS|unknown|spray|abrasion|1|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 1/Tape.xlsx,53d9dcbeb11a74ddea22fc10723ff962aa9257bb1e813e664733b21b86e9cd41,154.68,1.7829788362357948,5,reported_CA_Stabw,1.1474396519373233,5.0,0.0,Figure 5,PDMS,900C,unknown,spray,tape,1.0,,top,coating,900C|PDMS|unknown|spray|tape|1|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 10/Abrasion.xlsx,3fef3d4d7fd43659947937a8b72ce97a5d10f6b025948ad88d91ca72763ad217,151.185,1.4402648331960148,10,reported_CA_Stabw,,10.0,1.0,Figure 5,PDMS,900C,unknown,spray,abrasion,10.0,,top,coating,900C|PDMS|unknown|spray|abrasion|10|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 10/Tape.xlsx,e71cae6b978f2be80af303e83b240df13735e5e52dd2b16c446e2c3a607891c8,137.16,7.15615120019135,5,computed_static_replicates,,,1.0,Figure 5,PDMS,900C,unknown,spray,tape,10.0,,top,coating,900C|PDMS|unknown|spray|tape|10|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 15/Abrasion.xlsx,b2d29dab84e07638c69d7261805e3a04909d668a492147f77189cfa79f110897,150.9,1.4957346764123018,10,computed_static_replicates,,14.0,1.0,Figure 5,PDMS,900C,unknown,spray,abrasion,15.0,,top,coating,900C|PDMS|unknown|spray|abrasion|15|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 2/Abrasion.xlsx,ae3e9b3d0b57ef0d94ef52c38c2221c72595b096c6b379e3c9ad71f52c8b83c6,154.89999999999998,0.9269587443534624,10,reported_CA_Stabw,2.6456632774054185,5.0,0.1,Figure 5,PDMS,900C,unknown,spray,abrasion,2.0,,top,coating,900C|PDMS|unknown|spray|abrasion|2|sprayna,False
