epoch,train_loss,validation_loss,validation_macro_dice,validation_dice_HPC22,validation_dice_HPC30,validation_dice_HPC45,elapsed_seconds
1,0.47768758820450824,0.6100547835230827,0.5108333845933278,0.35574747174978255,0.47959939390420914,0.6971532881259919,20.914790391921997
2,0.3919840714205866,0.43471358343958855,0.7221482741336027,0.5750066794455051,0.7795089706778526,0.8119291722774505,40.48144292831421
3,0.36472141872281616,0.35882148891687393,0.7992402166128159,0.7623717755079269,0.8384440332651139,0.7969048410654068,59.96950078010559
4,0.34746481283851294,0.321333933621645,0.7925152947505315,0.7593385249376297,0.8436596184968949,0.77454774081707,79.25386691093445
5,0.3344404839951059,0.3674239292740822,0.7929282089074453,0.7670470356941224,0.8431644856929779,0.7685731053352356,98.66899394989014
6,0.31824834580006806,0.31284278631210327,0.7993310660123824,0.753090438246727,0.8359016090631485,0.8090011507272721,118.09210920333862
7,0.31562449621117633,0.30510954931378365,0.7975843777259191,0.7523332327604294,0.8411479234695435,0.7992719769477844,137.30082511901855
8,0.30619492219842,0.2945830635726452,0.8010390331347784,0.7672773182392121,0.8447318613529206,0.7911079198122024,156.91437983512878
9,0.3015608651482541,0.3069353736937046,0.8000660339991251,0.7564020693302155,0.8392614156007767,0.8045346170663834,176.1896834373474
10,0.2973925646232522,0.28947326727211475,0.7994538724422454,0.7657742500305176,0.8469778835773468,0.7856094837188721,196.99161529541016
11,0.302901658674945,0.3210676684975624,0.7855603446563085,0.7441033631563186,0.8378663063049316,0.7747113645076752,216.77177000045776
12,0.2882663465064505,0.3417373336851597,0.7825168937444685,0.7162687063217164,0.8144005745649338,0.8168814003467559,236.87403297424316
13,0.29553310249162756,0.2955736219882965,0.7919788137078285,0.7313026115298271,0.8328306645154953,0.8118031650781632,256.6556329727173
14,0.29116774512373883,0.28818416595458984,0.7996394455432893,0.761386638879776,0.844861626625061,0.7926700711250305,276.5897102355957
15,0.2957941092874693,0.2755037806928158,0.8062670081853867,0.7724716037511825,0.8451211541891098,0.8012082666158676,296.4598739147186
16,0.2901093344325605,0.29169354401528835,0.7988837560017904,0.7529854327440262,0.8455190688371659,0.798146766424179,315.88250517845154
17,0.28281356199927954,0.27773733623325825,0.8036249607801437,0.7653014659881592,0.8491108149290085,0.7964626014232635,335.65643191337585
18,0.2766719421614771,0.275905242189765,0.8041115333636601,0.7704358607530594,0.8510314494371414,0.7908672899007797,355.34010100364685
19,0.27761472502480383,0.29454209841787815,0.7958267192045847,0.7498341381549836,0.8248276770114898,0.8128183424472809,374.94921493530273
20,0.2816807323175928,0.28377569280564785,0.8079698652029036,0.7714394301176071,0.8540941536426544,0.7983760118484498,395.17997694015503
21,0.28256008612072986,0.32789864391088486,0.7710836291313171,0.7288037836551666,0.8053122371435165,0.7791348665952682,415.16833686828613
22,0.28341790968957153,0.34053579717874527,0.7649638175964354,0.7207720667123795,0.8041235953569412,0.7699957907199859,435.2402169704437
23,0.2798384751962579,0.2930360175669193,0.7952459275722502,0.7541903376579284,0.8504407972097396,0.7811066478490829,455.26175451278687
24,0.2700875045164772,0.2819781880825758,0.8010271946589151,0.7471355766057968,0.8327286839485168,0.8232173234224319,474.6884868144989
25,0.2696159689322762,0.2756936978548765,0.8138332833846409,0.7735427975654602,0.8456220299005508,0.822335022687912,494.1751527786255
26,0.2739762676798779,0.2601928133517504,0.8150744785865148,0.7793482482433319,0.846411082148552,0.8194641053676606,514.2186071872711
27,0.2691060090842454,0.26472290232777596,0.8113540281852086,0.7741423666477203,0.8533508330583572,0.8065688848495484,533.8224279880524
28,0.27775852835696674,0.28960475139319897,0.7945102055867513,0.7422860026359558,0.8496787697076797,0.7915658444166184,553.1320400238037
29,0.2673578748236532,0.3020716942846775,0.7921853105227153,0.7664216160774231,0.8433967620134354,0.7667375534772873,572.29687666893
30,0.27319697452628094,0.3142245188355446,0.7831660916407902,0.7090245574712754,0.812443858385086,0.8280298590660096,592.2572875022888
31,0.2686687882827676,0.2788296937942505,0.8075941771268845,0.7708612561225892,0.8502409845590592,0.8016802906990051,612.4302682876587
32,0.2741604421449744,0.27168542332947254,0.8098357329765955,0.7716654449701309,0.8514635890722275,0.8063781648874283,632.1626143455505
33,0.27720649540424347,0.3202975243330002,0.7874960203965505,0.7401109516620636,0.8226378858089447,0.7997392237186431,651.4129452705383
34,0.26979931605898816,0.2805752381682396,0.7997624417146048,0.7564299523830413,0.8561531126499176,0.7867042601108551,670.829749584198
35,0.2704993473446887,0.2988005820661783,0.8085310002168019,0.7684666037559509,0.8466632425785064,0.8104631543159485,690.234500169754
36,0.26834631873213727,0.27474240213632584,0.8086660206317902,0.7687126964330673,0.8526369124650955,0.8046484529972077,709.4622192382812
37,0.27019296975239465,0.3849189691245556,0.7344747190674146,0.5979891940951347,0.7836478322744369,0.8217871308326721,729.1104998588562
38,0.2736813730519751,0.3160223253071308,0.7690856178601583,0.7633437365293503,0.8134407758712768,0.7304723411798477,748.3219802379608
39,0.26673714557419653,0.27057971246540546,0.8110350191593169,0.7742707341909408,0.8472727864980698,0.8115615367889404,767.7700634002686
40,0.2694384734267774,0.26676569879055023,0.8096534411112467,0.7747130781412125,0.854236724972725,0.8000105202198029,787.4310665130615
41,0.2600047853977784,0.34197387658059597,0.7586059759060543,0.701145151257515,0.8465661823749542,0.7281065940856933,806.2633032798767
