condition_id,condition_key,primer,material,sieving,coating_method,test_type,cycle,spray_cycle,n_sem_fields,solid_area_fraction,eq_diameter_median_um,circularity_median,aspect_ratio_median,pore_component_density_per_mm2,edge_density_per_um,nearest_neighbor_spacing_um,texture_glcm_contrast_mean,texture_glcm_homogeneity_mean,texture_lbp_entropy,texture_laplacian_variance,n_property_workbooks,contact_angle_deg,hysteresis_deg,rolloff_angle_deg,pinning_fraction,analysis_unit,coupon_level_inference_allowed
COND-3f3eb1978f,900C|PDMS|unknown|spray|abrasion|0|sprayna,PDMS,900C,unknown,spray,abrasion,0.0,,,,,,,,,,,,,,1.0,155.29000000000002,2.997711396546918,5.0,0.0,condition/test-state,False
COND-d3813f65a5,900C|PDMS|unknown|spray|abrasion|10|sprayna,PDMS,900C,unknown,spray,abrasion,10.0,,,,,,,,,,,,,,1.0,151.185,,10.0,1.0,condition/test-state,False
COND-312ee205a8,900C|PDMS|unknown|spray|abrasion|15|sprayna,PDMS,900C,unknown,spray,abrasion,15.0,,,,,,,,,,,,,,1.0,150.9,,14.0,1.0,condition/test-state,False
COND-10904539d4,900C|PDMS|unknown|spray|abrasion|1|sprayna,PDMS,900C,unknown,spray,abrasion,1.0,,,,,,,,,,,,,,1.0,155.395,1.0261535942128035,5.0,0.0,condition/test-state,False
COND-bf46657ebe,900C|PDMS|unknown|spray|abrasion|20|sprayna,PDMS,900C,unknown,spray,abrasion,20.0,,,,,,,,,,,,,,1.0,142.41,,,1.0,condition/test-state,False
COND-7b143af78e,900C|PDMS|unknown|spray|abrasion|2|sprayna,PDMS,900C,unknown,spray,abrasion,2.0,,,,,,,,,,,,,,1.0,154.89999999999998,2.6456632774054185,5.0,0.1,condition/test-state,False
COND-9d4c995f75,900C|PDMS|unknown|spray|abrasion|3|sprayna,PDMS,900C,unknown,spray,abrasion,3.0,,,,,,,,,,,,,,1.0,153.875,2.5789683054442323,5.0,0.2,condition/test-state,False
COND-7ab690544a,900C|PDMS|unknown|spray|abrasion|4|sprayna,PDMS,900C,unknown,spray,abrasion,4.0,,,,,,,,,,,,,,1.0,152.48,1.97698620940904,5.0,0.7,condition/test-state,False
COND-7087ce1f06,900C|PDMS|unknown|spray|abrasion|5|sprayna,PDMS,900C,unknown,spray,abrasion,5.0,,,,,,,,,,,,,,1.0,150.58500000000004,,8.0,1.0,condition/test-state,False
COND-34d3363ca5,900C|PDMS|unknown|spray|tape|0|sprayna,PDMS,900C,unknown,spray,tape,0.0,,,,,,,,,,,,,,1.0,153.49,1.4984218648473018,5.0,0.0,condition/test-state,False
COND-163b70695d,900C|PDMS|unknown|spray|tape|10|sprayna,PDMS,900C,unknown,spray,tape,10.0,,,,,,,,,,,,,,1.0,137.16,,,1.0,condition/test-state,False
COND-ab2073106d,900C|PDMS|unknown|spray|tape|1|sprayna,PDMS,900C,unknown,spray,tape,1.0,,,,,,,,,,,,,,1.0,154.68,1.1474396519373231,5.0,0.0,condition/test-state,False
COND-9f101422c5,900C|PDMS|unknown|spray|tape|2|sprayna,PDMS,900C,unknown,spray,tape,2.0,,,,,,,,,,,,,,1.0,154.73999999999998,1.6779706790123232,5.0,0.0,condition/test-state,False
COND-b4888eef71,900C|PDMS|unknown|spray|tape|3|sprayna,PDMS,900C,unknown,spray,tape,3.0,,,,,,,,,,,,,,1.0,150.17,1.208607251603932,5.0,0.1,condition/test-state,False
COND-7f9b5c1534,900C|PDMS|unknown|spray|tape|4|sprayna,PDMS,900C,unknown,spray,tape,4.0,,,,,,,,,,,,,,1.0,147.51000000000002,2.3766405878905723,5.0,0.4,condition/test-state,False
COND-db3b2a3d64,900C|PDMS|unknown|spray|tape|5|sprayna,PDMS,900C,unknown,spray,tape,5.0,,,,,,,,,,,,,,1.0,146.24,,7.0,1.0,condition/test-state,False
COND-83538a6e07,900C|PUR|unknown|spray|abrasion|0|sprayna,PUR,900C,unknown,spray,abrasion,0.0,,,,,,,,,,,,,,1.0,154.46,1.2123544657097227,5.0,0.0,condition/test-state,False
COND-352a2bdfea,900C|PUR|unknown|spray|abrasion|10|sprayna,PUR,900C,unknown,spray,abrasion,10.0,,,,,,,,,,,,,,1.0,137.985,,15.0,1.0,condition/test-state,False
COND-f10af6c8ba,900C|PUR|unknown|spray|abrasion|15|sprayna,PUR,900C,unknown,spray,abrasion,15.0,,2.0,0.29331653847849076,2.550533421698016,0.8483498909482412,1.5708200494467603,123752.61252407765,2.5428638963991848,5.077172001349678,3.8463072248361145,0.5231990909644966,3.085653306353051,0.184495136141777,1.0,144.51,,,1.0,condition/test-state,False
COND-b866c77dbd,900C|PUR|unknown|spray|abrasion|1|sprayna,PUR,900C,unknown,spray,abrasion,1.0,,,,,,,,,,,,,,1.0,152.985,1.103155197336497,5.0,0.0,condition/test-state,False
COND-01fc67283a,900C|PUR|unknown|spray|abrasion|20|sprayna,PUR,900C,unknown,spray,abrasion,20.0,,,,,,,,,,,,,,1.0,148.41500000000002,,,1.0,condition/test-state,False
COND-da04e66b7e,900C|PUR|unknown|spray|abrasion|2|sprayna,PUR,900C,unknown,spray,abrasion,2.0,,,,,,,,,,,,,,1.0,154.47000000000003,0.8613890161309257,5.0,0.1,condition/test-state,False
COND-b5eea0489b,900C|PUR|unknown|spray|abrasion|3|sprayna,PUR,900C,unknown,spray,abrasion,3.0,,,,,,,,,,,,,,1.0,154.825,1.0999159761706494,6.0,0.2,condition/test-state,False
COND-e9e090c3ed,900C|PUR|unknown|spray|abrasion|4|sprayna,PUR,900C,unknown,spray,abrasion,4.0,,,,,,,,,,,,,,1.0,140.27000000000004,,9.0,0.6,condition/test-state,False
COND-bde8c97cdc,900C|PUR|unknown|spray|abrasion|5|sprayna,PUR,900C,unknown,spray,abrasion,5.0,,,,,,,,,,,,,,1.0,134.03499999999997,,10.0,1.0,condition/test-state,False
COND-1de9807bc4,900C|PUR|unknown|spray|tape|0|sprayna,PUR,900C,unknown,spray,tape,0.0,,,,,,,,,,,,,,1.0,153.14999999999998,0.9322278062943118,5.0,0.0,condition/test-state,False
COND-ea433a1987,900C|PUR|unknown|spray|tape|10|sprayna,PUR,900C,unknown,spray,tape,10.0,,,,,,,,,,,,,,1.0,148.11,,15.0,1.0,condition/test-state,False
COND-343fb53f10,900C|PUR|unknown|spray|tape|15|sprayna,PUR,900C,unknown,spray,tape,15.0,,,,,,,,,,,,,,1.0,146.17,,,1.0,condition/test-state,False
COND-ee0e2b362d,900C|PUR|unknown|spray|tape|1|sprayna,PUR,900C,unknown,spray,tape,1.0,,,,,,,,,,,,,,1.0,152.85,1.9958266670031437,5.0,0.0,condition/test-state,False
COND-b77c1999ce,900C|PUR|unknown|spray|tape|2|sprayna,PUR,900C,unknown,spray,tape,2.0,,,,,,,,,,,,,,1.0,155.3,0.837051767676788,6.0,0.2,condition/test-state,False
COND-1c22f74aaa,900C|PUR|unknown|spray|tape|3|sprayna,PUR,900C,unknown,spray,tape,3.0,,,,,,,,,,,,,,1.0,151.63,3.7707333516157178,7.0,0.4,condition/test-state,False
COND-d9aafb5fac,900C|PUR|unknown|spray|tape|4|sprayna,PUR,900C,unknown,spray,tape,4.0,,,,,,,,,,,,,,1.0,146.72,,8.0,0.8,condition/test-state,False
COND-eb61063bcd,900C|PUR|unknown|spray|tape|5|sprayna,PUR,900C,unknown,spray,tape,5.0,,,,,,,,,,,,,,1.0,145.95000000000002,,10.0,1.0,condition/test-state,False
COND-c870fe0083,base|PDMS|sieved|spray|none|na|sprayna,PDMS,base,sieved,spray,none,,,1.0,0.5153605430183357,20.07847134006097,0.9276858030412474,1.3255409621123733,24.308548888658105,0.1862565804350311,21.23081108749636,5.436669845350646,0.4590696459945841,3.195509765732776,0.1916342079639434,1.0,151.63,,,1.0,condition/test-state,False
COND-c77f15433f,base|PDMS|unsieved|spray|none|na|sprayna,PDMS,base,unsieved,spray,none,,,2.0,0.4302839055888575,11.306919120437025,0.8885928254194704,1.3154430553631986,89.36154051682838,0.32944767227720234,14.072454802185607,5.188520124276706,0.45713548461291464,3.1273778825310075,0.23490478843450546,1.0,153.49,1.7924277461278493,,0.0,condition/test-state,False
COND-5c33bae2e0,base|PUR|sieved|spray|none|na|sprayna,PUR,base,sieved,spray,none,,,1.0,0.4629911737482369,18.897530100932094,0.8502478895140003,1.412794543284973,41.98749353495491,0.1923965005618378,21.07414273307097,4.603938340800196,0.4780938927385083,3.1436763080033208,0.2437341958284378,1.0,150.04000000000002,,,1.0,condition/test-state,False
COND-898124971f,base|PUR|unsieved|spray|none|na|sprayna,PUR,base,unsieved,spray,none,,,1.0,0.4021247465620592,11.885262827644343,0.923535245859492,1.3578358595561957,23.20361484826455,0.1986301787617081,16.54387576684764,4.624058727573324,0.4851936914543502,3.1276241968207037,0.2713145613670349,1.0,153.14999999999998,0.9322278062943118,5.0,0.0,condition/test-state,False
COND-c633d60758,base|unknown|unknown|dip|none|na|sprayna,unknown,base,unknown,dip,none,,,1.0,0.4883418547249647,6.394207360230821,0.8363754968426208,1.3766973508735774,283.1393478508473,0.4940217730721445,9.227036334325584,5.54405173729442,0.4492928090349491,3.124275898657156,0.2326418310403823,1.0,153.45999999999998,2.079733893557413,5.0,,condition/test-state,False
COND-496076e4a2,base|unknown|unknown|spray|none|na|spray1,unknown,base,unknown,spray,none,,1.0,1.0,0.5025962954351701,10.439772558524322,0.931241479213346,1.3313930074034328,152.67166717042713,0.2994617122321059,13.0563090130141,6.34389820567542,0.4761146021608911,3.207158947613627,0.0622495487332344,,,,,,condition/test-state,False
COND-b06fa12db0,base|unknown|unknown|spray|none|na|spray2,unknown,base,unknown,spray,none,,2.0,1.0,0.4984267224676432,11.780033048363196,0.8846379077923384,1.3398352506798288,241.0605271112007,0.2789994810474614,14.341612787427175,7.195251254937271,0.4835921385661789,3.2133035953940783,0.0603006556630134,,,,,,condition/test-state,False
COND-31094b47e4,base|unknown|unknown|spray|none|na|spray3,unknown,base,unknown,spray,none,,3.0,1.0,0.4494497403704565,9.942720412154348,0.9468587356777374,1.274404589285231,72.31815813336021,0.2893394086136316,12.469989320211054,6.892655512971309,0.4875944604225771,3.21758167137938,0.0568003356456756,,,,,,condition/test-state,False
COND-2d166d7240,base|unknown|unknown|spray|none|na|sprayna,unknown,base,unknown,spray,none,,,2.0,0.5065570180271509,5.415351042014103,1.0,1.3134703576682865,3718132.3266763673,11.24654363330969,6.8061015193165675,5.309309644136718,0.44546851520607744,3.236671605952285,0.1584237068891525,1.0,153.92000000000002,1.3461480636315837,5.0,,condition/test-state,False
COND-37100e3eb8,base|unknown|unknown|unknown|none|na|sprayna,unknown,base,unknown,unknown,none,,,,,,,,,,,,,,,,,,,,condition/test-state,False
COND-128e35fdd7,binder|PUR|unknown|spray|none|na|sprayna,PUR,binder,unknown,spray,none,,,,,,,,,,,,,,,1.0,,,5.111111111111111,0.11,condition/test-state,False
