condition_id,condition_key,primer,material,sieving,coating_method,test_type,cycle,spray_cycle
COND-da04e66b7e,900C|PUR|unknown|spray|abrasion|2|sprayna,PUR,900C,unknown,spray,abrasion,2.0,
COND-b5eea0489b,900C|PUR|unknown|spray|abrasion|3|sprayna,PUR,900C,unknown,spray,abrasion,3.0,
COND-e9e090c3ed,900C|PUR|unknown|spray|abrasion|4|sprayna,PUR,900C,unknown,spray,abrasion,4.0,
COND-bde8c97cdc,900C|PUR|unknown|spray|abrasion|5|sprayna,PUR,900C,unknown,spray,abrasion,5.0,
COND-1de9807bc4,900C|PUR|unknown|spray|tape|0|sprayna,PUR,900C,unknown,spray,tape,0.0,
COND-ea433a1987,900C|PUR|unknown|spray|tape|10|sprayna,PUR,900C,unknown,spray,tape,10.0,
COND-343fb53f10,900C|PUR|unknown|spray|tape|15|sprayna,PUR,900C,unknown,spray,tape,15.0,
COND-ee0e2b362d,900C|PUR|unknown|spray|tape|1|sprayna,PUR,900C,unknown,spray,tape,1.0,
COND-b77c1999ce,900C|PUR|unknown|spray|tape|2|sprayna,PUR,900C,unknown,spray,tape,2.0,
COND-1c22f74aaa,900C|PUR|unknown|spray|tape|3|sprayna,PUR,900C,unknown,spray,tape,3.0,
COND-d9aafb5fac,900C|PUR|unknown|spray|tape|4|sprayna,PUR,900C,unknown,spray,tape,4.0,
COND-eb61063bcd,900C|PUR|unknown|spray|tape|5|sprayna,PUR,900C,unknown,spray,tape,5.0,
COND-c870fe0083,base|PDMS|sieved|spray|none|na|sprayna,PDMS,base,sieved,spray,none,,
COND-c77f15433f,base|PDMS|unsieved|spray|none|na|sprayna,PDMS,base,unsieved,spray,none,,
COND-5c33bae2e0,base|PUR|sieved|spray|none|na|sprayna,PUR,base,sieved,spray,none,,
COND-898124971f,base|PUR|unsieved|spray|none|na|sprayna,PUR,base,unsieved,spray,none,,
COND-c633d60758,base|unknown|unknown|dip|none|na|sprayna,unknown,base,unknown,dip,none,,
COND-496076e4a2,base|unknown|unknown|spray|none|na|spray1,unknown,base,unknown,spray,none,,1.0
COND-b06fa12db0,base|unknown|unknown|spray|none|na|spray2,unknown,base,unknown,spray,none,,2.0
COND-31094b47e4,base|unknown|unknown|spray|none|na|spray3,unknown,base,unknown,spray,none,,3.0
COND-2d166d7240,base|unknown|unknown|spray|none|na|sprayna,unknown,base,unknown,spray,none,,
COND-37100e3eb8,base|unknown|unknown|unknown|none|na|sprayna,unknown,base,unknown,unknown,none,,
COND-128e35fdd7,binder|PUR|unknown|spray|none|na|sprayna,PUR,binder,unknown,spray,none,,
COND-aa1d84b599,binder|PUR|unknown|spray|tape|25|sprayna,PUR,binder,unknown,spray,tape,25.0,
COND-b65b0cdf11,binder|unknown|unknown|unknown|none|na|sprayna,unknown,binder,unknown,unknown,none,,
COND-cd61e4700f,unsintered|PDMS|unknown|spray|abrasion|0|sprayna,PDMS,unsintered,unknown,spray,abrasion,0.0,
COND-bb480c86fc,unsintered|PDMS|unknown|spray|abrasion|1|sprayna,PDMS,unsintered,unknown,spray,abrasion,1.0,
COND-04a402c9a8,unsintered|PDMS|unknown|spray|abrasion|2|sprayna,PDMS,unsintered,unknown,spray,abrasion,2.0,
COND-1d25c14689,unsintered|PDMS|unknown|spray|abrasion|3|sprayna,PDMS,unsintered,unknown,spray,abrasion,3.0,
COND-f92b9e52b0,unsintered|PDMS|unknown|spray|abrasion|4|sprayna,PDMS,unsintered,unknown,spray,abrasion,4.0,
COND-8f7d73de7f,unsintered|PDMS|unknown|spray|abrasion|5|sprayna,PDMS,unsintered,unknown,spray,abrasion,5.0,
COND-15d3d79641,unsintered|PDMS|unknown|spray|tape|0|sprayna,PDMS,unsintered,unknown,spray,tape,0.0,
COND-6c7234361f,unsintered|PDMS|unknown|spray|tape|1|sprayna,PDMS,unsintered,unknown,spray,tape,1.0,
COND-dead526ee7,unsintered|PDMS|unknown|spray|tape|2|sprayna,PDMS,unsintered,unknown,spray,tape,2.0,
COND-c255bb9493,unsintered|PDMS|unknown|spray|tape|3|sprayna,PDMS,unsintered,unknown,spray,tape,3.0,
COND-2662028e42,unsintered|PDMS|unknown|spray|tape|4|sprayna,PDMS,unsintered,unknown,spray,tape,4.0,
COND-a7fc27d555,unsintered|PDMS|unknown|spray|tape|5|sprayna,PDMS,unsintered,unknown,spray,tape,5.0,
COND-54f8fda123,unsintered|PUR|unknown|spray|abrasion|0|sprayna,PUR,unsintered,unknown,spray,abrasion,0.0,
COND-5ca5cbd207,unsintered|PUR|unknown|spray|abrasion|1|sprayna,PUR,unsintered,unknown,spray,abrasion,1.0,
